algorithm,variant_label,design_count,final_score,summary_path,avg_and,avg_and_rank,avg_and_score,avg_lev,avg_lev_rank,avg_lev_score,avg_runtime,avg_runtime_rank,avg_runtime_score,avg_memory,avg_memory_rank,avg_memory_score
MABSyn-UCB1Prefix,"steps=10,iters=10,ucb_c=0.4,seed=0",30,275.5,/home/hxy/MCTSyn/.mabsyn_work/results/baseline_mab_prefix/summary.csv,1619.6,1.9,9.1,10.0,1.0333333333333334,9.966666666666667,3.2530333333333337,2.8,8.2,15351.866666666667,1.0,10.0
MABSyn-UCB1,"steps=10,iters=10,ucb_c=2.0,seed=0",30,275.3,/home/hxy/MCTSyn/.mabsyn_work/results/baseline_mab/summary.csv,1670.0333333333333,2.2333333333333334,8.766666666666667,10.1,1.1666666666666667,9.833333333333334,1.1807333333333332,1.0,10.0,16469.066666666666,2.7333333333333334,8.266666666666667
HybridSyn,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",30,268.59999999999997,/home/hxy/MCTSyn/.hybridsyn_work/summary.csv,1523.9,1.3666666666666667,9.633333333333333,10.066666666666666,1.0666666666666667,9.933333333333334,11.667107922333335,3.966666666666667,7.033333333333333,20649.866666666665,3.566666666666667,7.433333333333334
SASyn,"seq=10,iters=100,min_temp=0.001,seed=0",30,263.9,/home/hxy/MCTSyn/.sasyn_work/summary.csv,1590.4333333333334,2.4,8.6,10.1,1.1666666666666667,9.833333333333334,4.247004374033334,2.2333333333333334,8.766666666666667,20744.933333333334,3.2333333333333334,7.766666666666667
MCTSyn,"seq=10,iters=10,cpuct=1.0,mu=0.9,",30,261.8,/home/hxy/MCTSyn/.alphasyn_work/summary.csv,1523.8666666666666,1.3666666666666667,9.633333333333333,10.033333333333333,1.0333333333333334,9.966666666666667,16.628349154333332,5.0,6.0,20684.8,3.8333333333333335,7.166666666666667
